Country,ISO3,Year,y_true,y_pred,Residual,Cooks_D
Central African Republic,CAF,2021,52.3,49.90122999999988,2.3987700000001198,0.17737986152621324
Central African Republic,CAF,2019,52.9,49.93956333333319,2.9604366666668085,0.1429076635612644
Lesotho,LSO,2021,51.5,50.79300000000005,0.706999999999951,0.04872452859861168
Lesotho,LSO,2020,51.9,51.36100000000009,0.5389999999999091,0.030216171978197568
Lesotho,LSO,2018,51.6,51.15333333333345,0.44666666666655175,0.029815358323743876
Sri Lanka,LKA,2020,80.7,77.09424999999993,3.6057500000000715,0.029171188765109737
Lesotho,LSO,2019,51.8,51.31641000000009,0.48358999999990715,0.02077171185503127
Central African Republic,CAF,2020,53.1,51.79266666666664,1.3073333333333608,0.019594234360099477
Eswatini,SWZ,2021,54.6,53.734333333333126,0.8656666666668755,0.013489266612765824
Maldives,MDV,2021,75.4,80.03728796296296,-4.637287962962958,0.01333329553143754
Maldives,MDV,2019,75.4,78.80833333333344,-3.408333333333431,0.012772818816717817
United States,USA,2020,76.9,75.92524640320293,0.974753596797072,0.01099378948684889
Andorra,AND,2020,72.7,73.05296490174882,-0.35296490174881967,0.010905527730441445
Nicaragua,NIC,2019,78.9,77.32340277777776,1.5765972222222473,0.010572497298639592
Central African Republic,CAF,2018,52.1,51.87000000000003,0.22999999999996845,0.01044578849309976
Hungary,HUN,2021,74.4,75.50975262858553,-1.1097526285855253,0.010429186407270792
Andorra,AND,2021,72.2,71.57158888888911,0.6284111111108928,0.009575483533986295
Nicaragua,NIC,2018,78.5,78.08516666666665,0.41483333333334826,0.009563395693243527
Qatar,QAT,2021,76.7,78.69966666666674,-1.9996666666667409,0.009194465090044571
Maldives,MDV,2020,76.2,78.9160000000001,-2.7160000000000935,0.00907997181308961
Kuwait,KWT,2018,82.8,82.21781349206341,0.5821865079365836,0.009062381845616233
United States,USA,2021,76.4,75.24024450438782,1.1597554956121883,0.008788980333840988
Sierra Leone,SLE,2019,60.4,60.61875555555548,-0.21875555555548232,0.008601035697757527
Andorra,AND,2018,73.5,72.32220707070702,1.177792929292977,0.00843084619230443
Sierra Leone,SLE,2020,60.5,61.00741944444434,-0.5074194444443378,0.00837505269405647
Guinea-Bissau,GNB,2021,58.6,58.01433862433869,0.58566137566131,0.007938306666223721
Andorra,AND,2019,73.7,73.64183333333328,0.05816666666672177,0.007746255441516367
Sri Lanka,LKA,2019,77.5,77.21895317460327,0.28104682539672865,0.00751158422957084
Hungary,HUN,2020,75.8,76.85825601948403,-1.058256019484034,0.007465544130508514
Sierra Leone,SLE,2018,59.9,59.83001851851846,0.06998148148154115,0.007175330395963275
Egypt,EGY,2021,69.1,71.19912539682538,-2.099125396825386,0.007055948892294909
Kuwait,KWT,2019,82.5,82.22581349206341,0.27418650793659083,0.006888295890690049
Somalia,SOM,2018,54.7,53.92786666666672,0.7721333333332794,0.0062592338475895805
Sri Lanka,LKA,2018,77.2,76.88006984127,0.31993015873000274,0.005959984874468883
Sri Lanka,LKA,2021,77.2,76.61919444444457,0.580805555555429,0.005795072788658207
Bahrain,BHR,2021,74.4,74.68333293650791,-0.2833329365079038,0.00571797761234843
Georgia,GEO,2021,71.2,72.69710202598914,-1.497102025989136,0.005391523375546068
Zimbabwe,ZWE,2021,58.5,58.96133333333347,-0.4613333333334708,0.005246579229345989
Egypt,EGY,2020,70.1,71.67103543213221,-1.57103543213222,0.005182590171085219
"Korea, Democratic People's Republic of",PRK,2021,72.6,72.25823381687007,0.3417661831299199,0.005073515848431766
Sierra Leone,SLE,2021,61.0,61.421863888888865,-0.42186388888886484,0.005018518973166593
Oman,OMN,2020,73.9,75.45516230158732,-1.5551623015873162,0.005016226033077556
Oman,OMN,2021,72.5,73.48000358959122,-0.9800035895912202,0.004798723006503615
Bahrain,BHR,2020,74.9,75.08747460317463,-0.18747460317462128,0.004766349963732094
United Arab Emirates,ARE,2021,78.3,82.13241303511313,-3.8324130351131345,0.004581133700258956
Qatar,QAT,2020,77.3,78.68366666666667,-1.3836666666666702,0.004509296865522567
South Sudan,SSD,2020,58.9,59.35677199837196,-0.4567719983719627,0.004395105502710371
Peru,PER,2018,79.0,78.89001333943833,0.10998666056167394,0.0040702944738938256
Bahrain,BHR,2019,76.0,77.60112499999998,-1.601124999999982,0.00397189805651156
Cuba,CUB,2021,73.7,74.99555576760059,-1.2955557676005895,0.003822846319715799
Jordan,JOR,2019,79.8,79.29099999999991,0.5090000000000856,0.0037913688021947653
Bahrain,BHR,2018,75.9,77.24179166666661,-1.3417916666666088,0.0037810904281509144
Jordan,JOR,2018,79.6,79.2183333333332,0.3816666666667885,0.00367217012231091
Montenegro,MNE,2021,74.7,75.92708560051067,-1.2270856005106623,0.003633045508498469
Thailand,THA,2020,76.5,73.31845072983144,3.18154927016856,0.0036259718906415743
Somalia,SOM,2021,54.0,54.48275000000002,-0.4827500000000171,0.0035797411891124375
United States,USA,2018,78.6,78.46706186868677,0.13293813131322452,0.0034209669716314447
Thailand,THA,2018,77.1,75.82362006148223,1.2763799385177634,0.0033808810570719406
South Sudan,SSD,2019,59.0,59.29454405224404,-0.2945440522440421,0.0033495836172639554
United States,USA,2019,78.7,78.53732853535344,0.16267146464656435,0.0033122391863246036
Thailand,THA,2019,76.9,75.41106342227216,1.4889365777278414,0.0031826519967654496
Iceland,ISL,2020,82.6,82.03010398027888,0.5698960197211136,0.0031700760487034076
Armenia,ARM,2020,69.3,71.10066666666671,-1.8006666666667144,0.0030830001401630086
Burundi,BDI,2020,64.6,65.45874259259259,-0.8587425925925913,0.0030784811230799344
Iceland,ISL,2021,82.6,82.05647435064927,0.5435256493507268,0.0030127637503879145
Bangladesh,BGD,2018,73.7,73.47227729955236,0.22772270044764298,0.0029838071118616243
Eritrea,ERI,2020,63.8,64.26581186868694,-0.46581186868694147,0.0029611156182579295
Bangladesh,BGD,2019,73.9,73.54183465608466,0.3581653439153456,0.0029418674991358923
Iceland,ISL,2019,82.5,82.07263175805669,0.4273682419433129,0.002888567525287507
Indonesia,IDN,2021,68.3,70.11600697450703,-1.816006974507033,0.002839217955923487
Ukraine,UKR,2018,72.7,72.42210799317641,0.27789200682359194,0.0028274790950915158
Iraq,IRQ,2020,70.4,72.05966236995164,-1.6596623699516329,0.0027854515972017342
Egypt,EGY,2019,71.6,72.43168266047665,-0.831682660476659,0.002767692643278902
Peru,PER,2019,78.3,78.08401991907874,0.21598008092125554,0.0027069053031304902
Niger,NER,2020,60.4,60.28800000000007,0.11199999999993082,0.002692196348525263
Thailand,THA,2021,75.3,72.11368929735411,3.1863107026458835,0.002687463484328858
Egypt,EGY,2018,71.4,72.26056098605085,-0.8605609860508423,0.0025889030463416627
Chile,CHL,2019,81.0,80.169989814815,0.830010185185003,0.00250023786920452
Seychelles,SYC,2020,77.3,75.33178730290028,1.968212697099716,0.00247341702425855
Hungary,HUN,2019,76.3,76.69758846759146,-0.3975884675914614,0.0024381326508057456
Iceland,ISL,2018,82.4,82.08824974747463,0.31175025252537125,0.0024376626280441125
Chile,CHL,2018,81.0,80.03302314814833,0.966976851851669,0.0024084618057958994
Singapore,SGP,2018,82.8,82.67311999999967,0.12688000000032673,0.0024024306079970456
Zimbabwe,ZWE,2019,59.1,60.043611111111154,-0.9436111111111529,0.0023729469692369675
Slovenia,SVN,2019,81.3,80.92169632034633,0.3783036796536692,0.002255891534042064
Ukraine,UKR,2019,73.0,72.362840058932,0.6371599410680062,0.0022288556468193495
India,IND,2019,70.7,70.63521812169301,0.064781878306988,0.0022080165708785095
"Moldova, Republic of",MDA,2021,69.6,72.00574201201839,-2.4057420120183934,0.002198765687101862
Eswatini,SWZ,2018,54.7,55.642999999999944,-0.942999999999941,0.002140689304005885
Singapore,SGP,2019,82.8,82.69311999999965,0.10688000000034492,0.002140595549279408
India,IND,2018,70.4,70.24949370728953,0.15050629271047455,0.0021311956400690865
Hungary,HUN,2018,76.1,75.98906919711195,0.11093080288804913,0.0021297938935513606
"Venezuela, Bolivarian Republic of",VEN,2018,72.8,72.25334012098254,0.5466598790174544,0.002120389419744687
Gabon,GAB,2020,65.1,66.10612247474748,-1.0061224747474853,0.002092928993203982
Saudi Arabia,SAU,2021,76.4,77.47135978835983,-1.0713597883598283,0.0020872315661798397
"Iran, Islamic Republic of",IRN,2019,77.8,77.31681090102703,0.48318909897297146,0.0020866675760128116
Denmark,DNK,2018,80.8,81.03348531810393,-0.2334853181039307,0.0020753415421130503
Montenegro,MNE,2020,75.5,76.2021525317276,-0.7021525317276058,0.0020222198754200303
Zimbabwe,ZWE,2018,58.7,59.351944444444584,-0.651944444444581,0.0020199971274959677
"Korea, Republic of",KOR,2018,82.8,82.69386722222201,0.10613277777798658,0.002015086951996949
Bangladesh,BGD,2021,73.1,72.45486009393655,0.6451399060634486,0.0020149885657937605
Kazakhstan,KAZ,2021,70.3,72.2170859403037,-1.917085940303707,0.0019991352388601677
Suriname,SUR,2020,72.8,72.59295938713629,0.20704061286370745,0.00198512115234664
Zimbabwe,ZWE,2020,59.4,60.26561111111113,-0.8656111111111287,0.00198416914131404
Palau,PLW,2020,72.7,72.95162357229381,-0.25162357229380916,0.0019426422299882791
"Venezuela, Bolivarian Republic of",VEN,2020,72.4,72.05012350048153,0.3498764995184729,0.001898029618225365
"Venezuela, Bolivarian Republic of",VEN,2019,72.7,72.20818439880225,0.49181560119775725,0.001885407427737499
Denmark,DNK,2021,81.2,81.95349640359655,-0.753496403596543,0.001876552504174513
Oman,OMN,2018,75.0,75.20033333333333,-0.20033333333333303,0.00184852459443631
India,IND,2020,70.2,69.95247511154457,0.24752488845543041,0.0018444412330657608
Nauru,NRU,2020,72.7,73.09334400859423,-0.3933440085942266,0.0018407497477620947
Philippines,PHL,2021,66.4,66.89875555555557,-0.4987555555555616,0.0018401135690518779
Romania,ROU,2021,72.8,73.72797449070411,-0.9279744907041163,0.0018307260798165134
Bulgaria,BGR,2021,71.3,72.8771681615671,-1.5771681615671014,0.001827310834647438
Armenia,ARM,2021,73.0,73.7413629015435,-0.7413629015434964,0.0017952421099855106
Uzbekistan,UZB,2020,71.4,72.95482211443489,-1.5548221144348844,0.0017765272338003076
"Iran, Islamic Republic of",IRN,2018,77.7,77.35950277777769,0.3404972222223108,0.0017557483646501977
Syrian Arab Republic,SYR,2021,72.4,71.90067152569654,0.49932847430346783,0.0017475127305052929
Niger,NER,2019,60.6,60.32433333333339,0.2756666666666092,0.0017408744131854812
Mongolia,MNG,2020,72.7,71.78926175219111,0.9107382478088937,0.0017407910810438652
Singapore,SGP,2021,82.8,82.64678666666639,0.15321333333361054,0.0017110327477850365
Serbia,SRB,2021,72.8,74.73769662706094,-1.9376966270609444,0.0016977531292248162
Bosnia and Herzegovina,BIH,2021,74.8,76.90429906047117,-2.1042990604711775,0.0016960019998008616
"Palestine, State of",PSE,2021,73.5,73.9745707292707,-0.4745707292706953,0.001686604573109469
Indonesia,IDN,2020,69.7,71.04694446011503,-1.3469444601150258,0.0016798389397195794
"Korea, Republic of",KOR,2019,82.8,82.66191484126965,0.1380851587303482,0.0016638332605735972
"Venezuela, Bolivarian Republic of",VEN,2021,71.2,70.77788888888877,0.422111111111235,0.001645333934141668
Eritrea,ERI,2019,63.8,64.11535075757584,-0.3153507575758425,0.0016406303246832526
Pakistan,PAK,2018,66.7,66.77566666666667,-0.07566666666666322,0.00163952438275693
Gabon,GAB,2018,64.7,65.46708665223665,-0.7670866522366424,0.0016315955527151458
Lao People's Democratic Republic,LAO,2020,68.7,69.18819047619047,-0.48819047619046785,0.0016272969581776465
Oman,OMN,2019,75.3,75.94696739766087,-0.6469673976608732,0.0016150869853775655
Eswatini,SWZ,2020,56.0,57.045333333333375,-1.0453333333333745,0.0016124925532847074
"Bolivia, Plurinational State of",BOL,2020,67.1,67.0119492063492,0.08805079365079393,0.0016089216267226503
Saint Lucia,LCA,2021,71.1,72.76050284440483,-1.6605028444048315,0.001582385579801363
Russian Federation,RUS,2021,70.0,71.11122222222214,-1.111222222222139,0.0015814264548654937
Burundi,BDI,2019,64.3,64.93349629629638,-0.6334962962963857,0.0015459801947492744
France,FRA,2019,82.5,81.6196245791247,0.8803754208752963,0.0015284402053926712
Georgia,GEO,2020,73.1,73.40114598053877,-0.3011459805387773,0.0015261478708517434
Saudi Arabia,SAU,2020,76.1,77.32286904761906,-1.2228690476190707,0.0015259707022588205
Bangladesh,BGD,2020,73.3,73.1077895098911,0.19221049010889146,0.0015234834429975316
Singapore,SGP,2020,82.8,82.67778666666634,0.12221333333366147,0.0015195556204391657
Costa Rica,CRI,2018,80.3,79.59283893513893,0.7071610648610687,0.0015037495246759854
Belize,BLZ,2019,74.9,73.74777247817431,1.1522275218256937,0.0014920087989920168
Pakistan,PAK,2019,67.0,67.0311111111111,-0.031111111111101764,0.001491620317681703
Niger,NER,2018,60.4,60.29533333333339,0.10466666666660984,0.0014897385568320974
France,FRA,2018,82.4,81.75442356902373,0.645576430976277,0.0014843654378955992
"Korea, Republic of",KOR,2020,82.8,82.60097873015857,0.199021269841424,0.0014730514208340603
Timor-Leste,TLS,2020,68.9,68.7658686868687,0.13413131313130577,0.0014369792916377646
Mexico,MEX,2018,75.9,75.59219878163493,0.30780121836507135,0.001427473928604356
Bahamas,BHS,2019,70.7,71.29934428770977,-0.5993442877097692,0.001426953516881003
Costa Rica,CRI,2019,80.3,79.65613378179556,0.6438662182044368,0.0013961671269647356
Kyrgyzstan,KGZ,2019,73.6,73.18622854409243,0.4137714559075647,0.0013955702626465656
Belize,BLZ,2020,74.7,73.76427869517033,0.93572130482967,0.0013903572881316271
South Sudan,SSD,2021,58.6,59.0642569190069,-0.4642569190068997,0.0013815089393431988
Eritrea,ERI,2018,63.5,63.80126742424248,-0.3012674242424822,0.0013782654139798465
Israel,ISR,2018,82.6,82.22853088578115,0.37146911421884,0.0013773717118462313
Gabon,GAB,2019,65.0,65.89416847041848,-0.894168470418478,0.0013742178659052354
Mexico,MEX,2019,75.8,75.27736882876013,0.5226311712398655,0.0013709189896787075
Argentina,ARG,2021,74.6,75.61879245500103,-1.0187924550010337,0.0013599736988463846
Spain,ESP,2018,82.8,82.61322039682567,0.18677960317432962,0.0013493332879217354
Nicaragua,NIC,2021,75.0,72.73158626327375,2.268413736726245,0.001347936209070254
Kiribati,KIR,2020,61.9,61.924795917970826,-0.024795917970827475,0.0013327759098261825
Palau,PLW,2021,72.2,71.37628703703729,0.8237129629627162,0.0013302770842283092
Morocco,MAR,2020,72.5,73.1576886147671,-0.6576886147670962,0.0013257536494028519
Belize,BLZ,2018,74.6,73.69648257853815,0.9035174214618422,0.0013188379378260306
Guinea-Bissau,GNB,2019,59.0,59.05823862433863,-0.05823862433862814,0.0013150431525351183
Ukraine,UKR,2020,72.5,72.36146489553329,0.1385351044667118,0.001313349064268579
Slovenia,SVN,2018,81.0,80.86797171717173,0.13202828282827284,0.0013106682535371935
Jamaica,JAM,2021,70.1,72.54898981637456,-2.4489898163745636,0.0013067140148492985
Israel,ISR,2019,82.6,82.26052347837368,0.3394765216263096,0.001300121794214582
Cyprus,CYP,2019,82.2,82.12634866429879,0.0736513357012143,0.0012669452030618221
Syrian Arab Republic,SYR,2020,72.0,71.56802261349758,0.43197738650242457,0.001259916492326853
El Salvador,SLV,2018,74.7,73.41055126651682,1.2894487334831837,0.0012549278911790185
Chile,CHL,2020,79.9,79.56099717164633,0.3390028283536708,0.0012454860562644676
New Zealand,NZL,2020,82.5,81.35230440187847,1.1476955981215298,0.0012406065446043783
Kyrgyzstan,KGZ,2018,73.3,72.89109505696402,0.4089049430359779,0.0012249103806319128
Luxembourg,LUX,2018,82.8,82.52416398656922,0.27583601343077646,0.0012191427075059593
"Korea, Republic of",KOR,2021,82.8,82.62885373015855,0.17114626984144365,0.0012056103005522061
Pakistan,PAK,2021,66.0,65.26615384615383,0.7338461538461729,0.001204891999262099
Costa Rica,CRI,2020,80.0,79.26019133285014,0.7398086671498589,0.001203446766255544
Dominican Republic,DOM,2019,73.9,72.66461895687846,1.2353810431215493,0.0011962562455052697
Malta,MLT,2018,82.3,81.90616917989425,0.3938308201057481,0.0011960436131847978
Cyprus,CYP,2018,82.1,81.98205480342118,0.11794519657881608,0.0011946889328758004
Niger,NER,2021,60.0,59.70028888888883,0.2997111111111721,0.00116836110836231
Gabon,GAB,2021,65.1,65.63548703703708,-0.5354870370370861,0.0011535763463170871
Luxembourg,LUX,2019,82.8,82.52416398656922,0.27583601343077646,0.001152270524697561
Haiti,HTI,2020,63.4,63.66920608465622,-0.26920608465621854,0.0011477051204435978
Slovakia,SVK,2021,74.5,75.90640173647353,-1.4064017364735264,0.001143494902098255
Uzbekistan,UZB,2021,72.2,73.22007519099492,-1.0200751909949162,0.0011368492058129015
Luxembourg,LUX,2021,82.8,82.51983065323587,0.28016934676412575,0.0011127074261740079
Spain,ESP,2019,82.8,82.55735119047633,0.24264880952367207,0.0011103164516431533
Malaysia,MYS,2020,76.8,74.31841541276641,2.481584587233584,0.0011049033118004559
Burundi,BDI,2021,64.0,64.86115609857987,-0.861156098579869,0.001092043196330143
El Salvador,SLV,2019,74.3,73.21275418671748,1.0872458132825216,0.001091464939040884
Czechia,CZE,2021,77.1,78.3936740582295,-1.2936740582294988,0.001083444576497263
Luxembourg,LUX,2020,82.8,82.52316398656922,0.27683601343078124,0.0010829328298562343
Angola,AGO,2020,62.6,62.89997953216372,-0.299979532163718,0.001078496147213747
Nauru,NRU,2021,72.2,71.84941666666683,0.3505833333331765,0.001069962416493276
Spain,ESP,2021,82.7,82.5236861111112,0.1763138888887994,0.0010684253191885918
Eswatini,SWZ,2019,55.7,56.43699999999997,-0.7369999999999663,0.0010663869961204074
Denmark,DNK,2019,81.3,81.8983190975693,-0.598319097569302,0.0010658386886077224
North Macedonia,MKD,2021,73.0,74.94624725224541,-1.9462472522454135,0.0010596543071566336
Saint Kitts and Nevis,KNA,2020,72.7,72.86078716612086,-0.16078716612085486,0.0010510304796704833
Tuvalu,TUV,2020,72.7,72.99225367908836,-0.2922536790883612,0.0010323853659154293
Niue,NIU,2019,73.7,72.7434954723301,0.9565045276699067,0.0010215335389728672
Saint Lucia,LCA,2019,76.1,76.01054011342902,0.08945988657097814,0.001018687385711479
Saint Lucia,LCA,2018,76.1,76.0483078891718,0.051692110828199134,0.0010109650151574204
Antigua and Barbuda,ATG,2018,75.6,75.9995690235689,-0.3995690235689011,0.0009994487128073344
Saudi Arabia,SAU,2018,76.8,76.94789126984142,-0.14789126984142342,0.0009889581204739865
Somalia,SOM,2020,55.1,55.395000000000046,-0.29500000000004434,0.0009821485925475156
Yemen,YEM,2020,66.5,66.60002380952382,-0.10002380952381884,0.0009783300117908208
Solomon Islands,SLB,2021,64.8,65.7831714285715,-0.9831714285715094,0.000974033703092148
Saudi Arabia,SAU,2019,76.9,77.22431904761913,-0.32431904761912733,0.0009671415609665364
Cyprus,CYP,2020,82.1,82.11060046805058,-0.010600468050583345,0.0009611743717729251
Qatar,QAT,2018,78.6,79.3376666666667,-0.737666666666712,0.000958843390435652
Latvia,LVA,2021,73.2,73.37541157640106,-0.17541157640106064,0.0009570275055075229
Angola,AGO,2018,62.3,61.98530674603169,0.31469325396830783,0.0009464485142677821
New Zealand,NZL,2021,82.2,81.37840820105843,0.8215917989415686,0.0009451767526331894
Dominican Republic,DOM,2018,73.5,72.70334104643216,0.7966589535678423,0.0009388424574734479
Turkmenistan,TKM,2020,68.5,69.12310952380949,-0.6231095238094895,0.0009346607211659429
Bahamas,BHS,2021,70.4,70.91366666666659,-0.5136666666665803,0.0009337100801392141
Finland,FIN,2019,81.6,81.07301411134566,0.5269858886543375,0.0009316656095209642
Finland,FIN,2020,81.5,81.03785762668684,0.46214237331315644,0.0009208269912511392
Brunei Darussalam,BRN,2018,76.4,76.21474365079375,0.18525634920625578,0.0009183102511864926
Italy,ITA,2018,82.8,82.60348958874444,0.19651041125555935,0.000890142225026652
"Palestine, State of",PSE,2020,75.1,74.95363822751332,0.14636177248667082,0.0008882499983303686
Lao People's Democratic Republic,LAO,2018,68.1,67.96585555555566,0.13414444444433116,0.0008822147932940973
Ecuador,ECU,2019,77.8,77.48178698428204,0.31821301571795857,0.0008784589077124984
North Macedonia,MKD,2020,74.4,76.71920568783074,-2.319205687830731,0.000874700997180207
Antigua and Barbuda,ATG,2019,75.7,76.00323542568535,-0.3032354256853438,0.000868948468516041
Haiti,HTI,2019,63.7,63.57259724500657,0.12740275499343312,0.000864580212140751
Belize,BLZ,2021,73.3,73.14153747412013,0.15846252587986953,0.0008636951034845769
Malta,MLT,2019,82.1,81.91020680615694,0.18979319384305882,0.000862435724721057
Italy,ITA,2019,82.8,82.60226736652221,0.19773263347778425,0.0008534145706080341
Lebanon,LBN,2020,77.7,77.23173505291003,0.46826494708997757,0.0008495533133165767
Denmark,DNK,2020,81.4,81.93306801531817,-0.5330680153181646,0.0008357758590577842
Papua New Guinea,PNG,2020,66.3,66.54064231601738,-0.24064231601738584,0.0008215959141785493
Kenya,KEN,2021,66.8,66.51811084054832,0.2818891594516799,0.0008143462729354822
Eritrea,ERI,2021,63.6,63.44764242424254,0.15235757575746334,0.0008136604288686739
Australia,AUS,2018,82.8,82.49773063973065,0.30226936026934936,0.0008110723767064068
China,CHN,2018,77.1,76.85540473785495,0.24459526214504024,0.0008109016173382291
Israel,ISR,2020,82.4,82.29501269748782,0.10498730251218547,0.0008058838358144453
Azerbaijan,AZE,2020,71.4,73.08988717675985,-1.6898871767598393,0.0007955585002514511
Malta,MLT,2020,82.0,81.9035472101973,0.09645278980269723,0.0007955485593309447
Jamaica,JAM,2019,72.2,72.77941251962888,-0.5794125196288746,0.0007923923954421736
Cabo Verde,CPV,2018,73.9,74.1536245796404,-0.25362457964038754,0.0007861944852288075
Cabo Verde,CPV,2021,73.2,73.31612513298523,-0.11612513298523197,0.000781500079692273
Australia,AUS,2021,82.8,82.41623063973074,0.38376936026925534,0.0007791743393483434
Somalia,SOM,2019,55.2,55.45066666666672,-0.2506666666667172,0.0007738019925426389
Gambia,GMB,2021,64.2,63.87292744107747,0.32707255892253073,0.0007729282114250861
Lao People's Democratic Republic,LAO,2019,68.4,68.3938571428572,0.006142857142805269,0.0007713625304557566
Angola,AGO,2019,62.5,62.277216269841276,0.22278373015872432,0.0007682911624335156
Cabo Verde,CPV,2019,74.1,74.08015503687679,0.01984496312320516,0.0007680647459432723
Morocco,MAR,2021,72.6,73.16287275893676,-0.5628727589367628,0.0007680027991504903
Niue,NIU,2018,73.5,72.77740870733436,0.7225912926656406,0.0007670690900371327
Chad,TCD,2020,59.2,59.4143348003848,-0.21433480038479757,0.0007586936814421751
