Country,ISO3,Year,proj_le_baseline,proj_le_lo80,proj_le_hi80
Afghanistan,AFG,2022,59.84601904761911,58.58,61.302
Afghanistan,AFG,2023,60.59461904761897,59.2,62.0
Afghanistan,AFG,2024,60.72199999999994,59.2,62.1
Afghanistan,AFG,2025,60.709666666666614,59.2,62.1
Afghanistan,AFG,2026,60.70499999999994,59.2,62.1
Afghanistan,AFG,2027,60.47799999999996,59.2,62.1
Afghanistan,AFG,2028,60.453666666666614,59.2,62.1
Afghanistan,AFG,2029,60.33599999999995,59.1,62.1
Afghanistan,AFG,2030,60.31033333333329,59.1,62.1
Albania,ALB,2022,77.68165277777771,75.4,79.5
Albania,ALB,2023,77.52345198412695,75.4,79.22000000000001
Albania,ALB,2024,77.37849880952373,75.4,78.95166666666667
Albania,ALB,2025,77.19929346405226,75.4,78.7
Albania,ALB,2026,77.08461290849671,75.28999999999999,78.7
Albania,ALB,2027,76.70399068627448,74.9,78.5
Albania,ALB,2028,74.95189166666661,73.4,76.0
Albania,ALB,2029,74.82050277777769,73.1,76.0
Albania,ALB,2030,74.61001666666661,72.9,75.81
Algeria,DZA,2022,75.91649715099716,74.89,76.9
Algeria,DZA,2023,75.84085826210827,74.8,76.8
Algeria,DZA,2024,75.59605740740739,74.6,76.6
Algeria,DZA,2025,75.37107592592588,74.1,76.48615384615385
Algeria,DZA,2026,74.94344966329965,73.8,76.4
Algeria,DZA,2027,74.46623501220996,73.6,76.1
Algeria,DZA,2028,74.20227750860245,73.4,75.72000000000001
Algeria,DZA,2029,74.13655588023082,73.4,75.8
Algeria,DZA,2030,73.77977103082094,73.3,74.6
Andorra,AND,2022,71.56992222222243,70.8,72.4
Andorra,AND,2023,71.38058888888887,70.7,72.4
Andorra,AND,2024,71.38765555555553,70.7,72.4
Andorra,AND,2025,71.39832222222219,70.7,72.4
Andorra,AND,2026,71.40943333333331,70.7,72.4
Andorra,AND,2027,71.36243333333346,70.7,72.4
Andorra,AND,2028,71.35043333333346,70.68,72.4
Andorra,AND,2029,71.28776666666678,70.4,72.4
Andorra,AND,2030,71.26843333333343,70.4,72.4
Angola,AGO,2022,62.42056286549709,61.5,63.5
Angola,AGO,2023,62.40881286549712,61.5,63.5
Angola,AGO,2024,62.450888888888976,61.5,63.6
Angola,AGO,2025,62.39978902116414,60.99,64.2
Angola,AGO,2026,62.413648148148276,60.9,64.3
Angola,AGO,2027,62.42419515669523,60.2,64.3
Angola,AGO,2028,62.081228956229,60.0,64.3
Angola,AGO,2029,61.7193333333334,60.0,64.0
Angola,AGO,2030,61.590666666666706,60.0,64.01
Antigua and Barbuda,ATG,2022,78.18578954273204,77.2,79.0
Antigua and Barbuda,ATG,2023,78.2362530689719,76.99,79.4
Antigua and Barbuda,ATG,2024,78.50701372220759,77.2,79.8
Antigua and Barbuda,ATG,2025,78.70574169265186,77.77,80.0
Antigua and Barbuda,ATG,2026,79.16181100691252,77.89,80.5
Antigua and Barbuda,ATG,2027,79.18877083842084,77.8,80.6
Antigua and Barbuda,ATG,2028,79.2715476190476,77.8,80.6
Antigua and Barbuda,ATG,2029,79.27510714285708,77.8,81.0
Antigua and Barbuda,ATG,2030,79.28666269841261,77.8,81.1
Argentina,ARG,2022,75.60838866581948,74.9,76.105
Argentina,ARG,2023,75.59643874526647,74.8,76.1
Argentina,ARG,2024,75.5569530564455,74.69023809523809,75.92036363636365
Argentina,ARG,2025,75.46508112424027,74.56411764705882,75.9
Argentina,ARG,2026,75.15463866482841,74.13,75.9
Argentina,ARG,2027,75.14533930775274,74.1,75.9
Argentina,ARG,2028,75.15304978559665,74.28999999999999,75.9
Argentina,ARG,2029,74.96843642591332,74.2,75.6
Argentina,ARG,2030,74.80212426167564,73.99,75.5
Armenia,ARM,2022,73.56561752605164,72.3,74.9
Armenia,ARM,2023,73.44812576428343,72.3,74.8
Armenia,ARM,2024,73.02909352665694,71.85242424242425,74.54
Armenia,ARM,2025,72.78723759454593,71.6,74.2
Armenia,ARM,2026,72.72689554185892,71.36000000000001,73.7
Armenia,ARM,2027,72.50007375904856,71.1,73.7
Armenia,ARM,2028,72.3670826921601,70.6,73.7
Armenia,ARM,2029,72.09184451659452,70.08999999999999,73.6
Armenia,ARM,2030,71.06555555555553,69.1,72.0
Australia,AUS,2022,82.39043063973071,81.52000000000001,82.7
Australia,AUS,2023,82.38209730639736,81.52000000000001,82.7
Australia,AUS,2024,82.37651397306404,81.6,82.7
Australia,AUS,2025,82.37663518518524,81.6,82.7
Australia,AUS,2026,82.37589444444451,81.696,82.7
Australia,AUS,2027,82.3683944444445,81.7,82.7
Australia,AUS,2028,82.36956363636367,81.7,82.7
Australia,AUS,2029,82.38373030303035,81.9,82.7
Australia,AUS,2030,82.3868636363637,81.9,82.7
Austria,AUT,2022,81.64008682501726,81.3,82.2
Austria,AUT,2023,81.7153428590417,81.3,82.21000000000001
Austria,AUT,2024,81.71700952570836,81.3,82.21000000000001
Austria,AUT,2025,81.72137063681946,81.3,82.21000000000001
Austria,AUT,2026,81.9117774938513,81.38250000000001,82.7
Austria,AUT,2027,81.9748960604699,81.4,82.7
Austria,AUT,2028,81.97841121198505,81.4,82.7
Austria,AUT,2029,82.09263268583284,81.515,82.7
Austria,AUT,2030,82.14088182003198,81.7,82.70200000000001
Azerbaijan,AZE,2022,73.53188504512396,71.9,74.9
Azerbaijan,AZE,2023,73.61904452938673,72.1,75.3
Azerbaijan,AZE,2024,73.68206577344498,72.3,75.3
Azerbaijan,AZE,2025,73.47006521662314,72.27589743589745,74.8
Azerbaijan,AZE,2026,73.33969004506791,71.8642857142857,74.6
Azerbaijan,AZE,2027,73.1244386723819,71.5,74.52583333333334
Azerbaijan,AZE,2028,72.83666394070906,71.38000000000001,74.2
Azerbaijan,AZE,2029,72.65748240458059,71.4,73.7
Azerbaijan,AZE,2030,72.45790692395869,71.1,73.7
Bahamas,BHS,2022,70.83799999999992,70.1,71.6
Bahamas,BHS,2023,69.68631018518516,67.6,71.1
Bahamas,BHS,2024,68.11912962962953,66.4,70.6
Bahamas,BHS,2025,67.92046296296286,66.4,70.2
Bahamas,BHS,2026,67.54449999999987,66.3,68.8
Bahamas,BHS,2027,67.39783333333324,66.1,68.5
Bahamas,BHS,2028,67.3031666666666,66.1,68.4
Bahamas,BHS,2029,67.20816666666661,65.9,68.0
Bahamas,BHS,2030,67.08583333333327,65.9,68.0
Bahrain,BHR,2022,74.53914404761903,73.4,76.4
Bahrain,BHR,2023,74.53652182539682,73.4,76.4
Bahrain,BHR,2024,74.55252182539681,72.8,76.8
Bahrain,BHR,2025,74.25585515873011,72.4,76.8
Bahrain,BHR,2026,74.05499999999992,72.35000000000001,76.81
Bahrain,BHR,2027,74.01639999999995,71.9,76.8
Bahrain,BHR,2028,73.57706666666668,71.5,76.71000000000001
Bahrain,BHR,2029,73.45960000000002,71.48,76.7
Bahrain,BHR,2030,73.18448888888894,71.08999999999999,76.3
Bangladesh,BGD,2022,72.40186463337861,71.1,73.4
Bangladesh,BGD,2023,72.39878130004527,71.08999999999999,73.4
Bangladesh,BGD,2024,72.37518087269486,71.0,73.4
Bangladesh,BGD,2025,72.32938597129996,71.0,73.4
Bangladesh,BGD,2026,72.35486635280928,71.0,73.4
Bangladesh,BGD,2027,72.42501822871114,71.0,73.423
Bangladesh,BGD,2028,72.48032328628972,71.0,73.5
Bangladesh,BGD,2029,72.5617803986218,71.0,73.6
Bangladesh,BGD,2030,72.62392496377885,71.09666666666666,73.8
Barbados,BRB,2022,75.56963333333334,73.4,77.41000000000001
Barbados,BRB,2023,75.53971111111112,73.4,77.5
Barbados,BRB,2024,75.52944232804232,73.4,77.52000000000001
Barbados,BRB,2025,75.60558994708997,73.4,77.7
Barbados,BRB,2026,75.77239947089951,73.5,77.7
Barbados,BRB,2027,75.94937407407413,73.9,77.72000000000001
Barbados,BRB,2028,76.11791111111116,74.2,78.1
Barbados,BRB,2029,76.45324444444444,74.6,78.3
Barbados,BRB,2030,76.69199999999998,74.6,78.4
Belarus,BLR,2022,73.9858593986081,73.5,74.4
Belarus,BLR,2023,74.0068177319414,73.69916666666667,74.4
Belarus,BLR,2024,74.03184590654456,73.7,74.41000000000001
Belarus,BLR,2025,74.07730658687731,73.7,74.5
Belarus,BLR,2026,74.04172325354398,73.39500000000001,74.5
Belarus,BLR,2027,74.05203734685806,73.3,74.55071428571429
Belarus,BLR,2028,74.01831856378931,73.2,74.55071428571429
Belarus,BLR,2029,73.96241697648772,72.8225,74.50272727272727
Belarus,BLR,2030,73.95970777947555,72.7,74.6
Belgium,BEL,2022,81.79853566715937,81.29916666666666,82.5
Belgium,BEL,2023,82.03074060943935,81.5,82.7
Belgium,BEL,2024,82.17675660728166,81.7,82.7
Belgium,BEL,2025,82.2473232073482,81.7,82.8
Belgium,BEL,2026,82.28664707792203,81.7,82.8
Belgium,BEL,2027,82.2863137445887,81.7,82.8
Belgium,BEL,2028,82.30409152236646,81.7,82.8
Belgium,BEL,2029,82.31444152236645,81.7,82.8
Belgium,BEL,2030,82.31027485569979,81.718,82.8
Belize,BLZ,2022,72.69634089026923,71.39666666666668,73.8
Belize,BLZ,2023,72.70307700138032,71.39666666666668,73.8
Belize,BLZ,2024,72.70306311249144,71.36000000000001,73.8
Belize,BLZ,2025,72.69839644582477,71.36000000000001,73.8
Belize,BLZ,2026,72.71844274212108,71.3,73.8
Belize,BLZ,2027,72.70339671037505,71.36000000000001,73.84
Belize,BLZ,2028,72.65173004370837,71.3,73.8
Belize,BLZ,2029,72.6457300437084,71.3,73.8
Belize,BLZ,2030,72.59982907752479,71.2,73.9
Benin,BEN,2022,63.8666369047619,63.1,64.6
Benin,BEN,2023,64.14096031746028,63.3,64.82000000000001
Benin,BEN,2024,64.44479365079368,63.6,65.1
Benin,BEN,2025,64.78000000000011,63.9,65.5
Benin,BEN,2026,64.9493333333334,63.9,65.81
Benin,BEN,2027,65.22200000000004,64.5,66.01
Benin,BEN,2028,66.03066666666665,65.1,66.9
Benin,BEN,2029,66.24466666666662,65.3,67.2
Benin,BEN,2030,66.41333333333328,65.3,67.4
Bhutan,BTN,2022,73.57501354761797,71.7,75.0
Bhutan,BTN,2023,73.5420464841259,71.7,75.0
Bhutan,BTN,2024,73.53102931240873,71.7,75.0
Bhutan,BTN,2025,74.15684294452834,72.6,75.4
Bhutan,BTN,2026,74.1850690883192,72.8,75.435
Bhutan,BTN,2027,74.44400242165251,72.9,75.4
Bhutan,BTN,2028,76.41394077186439,74.9,77.92000000000002
Bhutan,BTN,2029,76.82257063492067,75.19200000000001,78.31
Bhutan,BTN,2030,76.98978809523813,75.2,78.6
"Bolivia, Plurinational State of",BOL,2022,65.81353140096621,64.7,67.41000000000001
"Bolivia, Plurinational State of",BOL,2023,65.48778140096621,64.5,67.4
"Bolivia, Plurinational State of",BOL,2024,63.65964251207735,59.5,66.7
"Bolivia, Plurinational State of",BOL,2025,62.14499999999999,59.2,65.01
"Bolivia, Plurinational State of",BOL,2026,61.123666666666665,59.2,63.79999999999999
"Bolivia, Plurinational State of",BOL,2027,60.70766666666666,58.6,63.7
"Bolivia, Plurinational State of",BOL,2028,59.42566666666676,57.1,62.8
"Bolivia, Plurinational State of",BOL,2029,58.003333333333394,56.8,60.1
"Bolivia, Plurinational State of",BOL,2030,57.539666666666704,56.1,59.5
Bosnia and Herzegovina,BIH,2022,76.87335771565041,76.08999999999999,78.0
Bosnia and Herzegovina,BIH,2023,76.85549206349208,75.58999999999999,78.1
Bosnia and Herzegovina,BIH,2024,76.72960317460318,75.6,78.1
Bosnia and Herzegovina,BIH,2025,76.6923194444445,75.6,78.1
Bosnia and Herzegovina,BIH,2026,76.66273611111116,75.52250000000001,78.1
Bosnia and Herzegovina,BIH,2027,76.63156944444451,75.5,78.1
Bosnia and Herzegovina,BIH,2028,76.54956944444449,75.49,78.1
Bosnia and Herzegovina,BIH,2029,76.50206150793655,75.3,78.1
Bosnia and Herzegovina,BIH,2030,76.34870039682544,74.9,77.9
Botswana,BWA,2022,61.21799999999999,60.1,62.8
Botswana,BWA,2023,61.266999999999996,60.1,62.8
Botswana,BWA,2024,61.560666666666656,60.5,63.02
Botswana,BWA,2025,61.586333333333336,60.5,63.3
Botswana,BWA,2026,61.604666666666674,60.5,63.3
Botswana,BWA,2027,61.63166666666668,60.5,63.3
Botswana,BWA,2028,61.64300000000001,60.5,63.3
Botswana,BWA,2029,61.68100000000001,60.5,63.5
Botswana,BWA,2030,61.83566666666668,60.6,64.0
Brazil,BRA,2022,72.74376712683458,71.8,73.7
Brazil,BRA,2023,72.66194251940284,71.8,73.6
Brazil,BRA,2024,72.72742941346644,71.8,73.7
Brazil,BRA,2025,72.5109786522301,71.4,73.6
Brazil,BRA,2026,72.19442008547009,70.9,73.5
Brazil,BRA,2027,71.36633333333336,70.2,72.0
Brazil,BRA,2028,71.12566666666667,70.1,71.9
Brazil,BRA,2029,70.86383333333332,70.1,71.6
Brazil,BRA,2030,70.80766666666665,70.1,71.5
Brunei Darussalam,BRN,2022,73.80399999999996,71.9,76.4
Brunei Darussalam,BRN,2023,75.77999999999999,72.4,78.41000000000001
Brunei Darussalam,BRN,2024,75.40366666666668,71.9,78.3
Brunei Darussalam,BRN,2025,75.69166666666666,71.9,78.5
Brunei Darussalam,BRN,2026,75.71794871794873,71.9,78.5
Brunei Darussalam,BRN,2027,75.5036153846154,71.88000000000001,78.5
Brunei Darussalam,BRN,2028,75.51794871794876,71.7,78.5
Brunei Darussalam,BRN,2029,75.2777820512821,71.5,78.3
Brunei Darussalam,BRN,2030,75.23611538461546,71.48,78.3
Bulgaria,BGR,2022,72.6366374475326,71.9,73.5
Bulgaria,BGR,2023,72.56800560992576,71.8,73.32000000000001
Bulgaria,BGR,2024,72.36939394527043,71.7,73.1
Bulgaria,BGR,2025,72.0986634920635,71.1,73.1
Bulgaria,BGR,2026,71.373,70.8,71.9
Bulgaria,BGR,2027,71.13449999999997,70.7,71.7
Bulgaria,BGR,2028,70.99466666666656,70.4,71.6
Bulgaria,BGR,2029,71.06766666666658,70.4,71.6
Bulgaria,BGR,2030,70.85599999999995,70.1,71.6
Burkina Faso,BFA,2022,62.209657142857175,61.6,63.1
Burkina Faso,BFA,2023,62.42957380952385,61.89666666666667,63.20000000000001
Burkina Faso,BFA,2024,62.82510714285715,62.0,63.8
Burkina Faso,BFA,2025,63.187060846560804,62.5,64.0
Burkina Faso,BFA,2026,63.42969493746996,62.70000000000001,64.0
Burkina Faso,BFA,2027,63.91395530303037,63.2,64.6
Burkina Faso,BFA,2028,64.54009960317468,63.7,65.2
Burkina Faso,BFA,2029,64.76438478835986,64.1,65.61
Burkina Faso,BFA,2030,65.1516952380953,64.3,65.90666666666668
Burundi,BDI,2022,65.09108347953223,64.1,66.11
Burundi,BDI,2023,65.43285708463084,64.2,66.7
Burundi,BDI,2024,65.58292851320225,64.2,66.91000000000001
Burundi,BDI,2025,65.73576184653557,64.2,67.1
Burundi,BDI,2026,66.10957328042326,64.8,67.1
Burundi,BDI,2027,66.20624589947087,65.0,67.1
Burundi,BDI,2028,66.39228478835972,65.1,67.8
Burundi,BDI,2029,66.53745145502636,65.1,67.8
Burundi,BDI,2030,66.65177169312163,65.38000000000001,67.8
Cabo Verde,CPV,2022,73.28747398259888,71.6,74.9
Cabo Verde,CPV,2023,73.33153007362115,71.6,74.9
Cabo Verde,CPV,2024,73.35326416236269,71.6,74.9
Cabo Verde,CPV,2025,73.51800586276805,71.79666666666667,74.9
Cabo Verde,CPV,2026,73.17383320460068,71.5,74.7
Cabo Verde,CPV,2027,73.11906289625404,71.5,74.7
Cabo Verde,CPV,2028,73.17901655576513,71.6,74.7
Cabo Verde,CPV,2029,73.068327390301,71.6,74.60166666666666
Cabo Verde,CPV,2030,73.00957104109466,71.79666666666667,74.6
Cambodia,KHM,2022,69.37420861200003,68.1,70.9
Cambodia,KHM,2023,69.7536501824666,68.1,71.7
Cambodia,KHM,2024,69.80079575473059,68.1,71.7
Cambodia,KHM,2025,70.03751056411473,68.4,71.7
Cambodia,KHM,2026,70.16795145458623,68.7,71.7
Cambodia,KHM,2027,70.49405676964153,69.0,72.0
Cambodia,KHM,2028,70.9364708608643,69.4,72.6
Cambodia,KHM,2029,71.35865128414474,69.8,72.7
Cambodia,KHM,2030,71.71252998784843,70.2,73.0
Cameroon,CMR,2022,62.68266666666666,62.0,63.4
Cameroon,CMR,2023,63.01380033670039,62.3,63.6
Cameroon,CMR,2024,63.551280892255974,62.6,64.3
Cameroon,CMR,2025,64.22484638047143,63.498,65.2
Cameroon,CMR,2026,64.93405666278171,64.1,65.9
Cameroon,CMR,2027,65.4980325887077,64.9,66.3
Cameroon,CMR,2028,65.99122703315199,65.2,67.0
Cameroon,CMR,2029,66.46649191919194,65.5,67.7
Cameroon,CMR,2030,67.83733333333339,66.3,69.3
Canada,CAN,2022,80.72036526836447,80.1,81.81
Canada,CAN,2023,80.69871275513695,80.0,81.9
Canada,CAN,2024,80.51850479041642,79.7,81.8
Canada,CAN,2025,80.38738728771222,79.6,81.8
Canada,CAN,2026,80.32723675861172,79.4,81.8
Canada,CAN,2027,80.22805545117646,79.2,81.8
Canada,CAN,2028,80.18197767339866,79.2,81.8
Canada,CAN,2029,80.16743971043567,79.2,81.8
Canada,CAN,2030,80.14458043345527,79.2,81.8
Central African Republic,CAF,2022,49.923563333333206,48.3,51.3
Central African Republic,CAF,2023,49.9285633333332,48.3,51.3
Central African Republic,CAF,2024,49.93189666666655,48.3,51.3
Central African Republic,CAF,2025,49.936563333333226,48.3,51.3
Central African Republic,CAF,2026,49.97048666666655,48.3,51.3
Central African Republic,CAF,2027,49.98815333333322,48.3,51.31
Central African Republic,CAF,2028,49.999819999999886,48.3,51.4
Central African Republic,CAF,2029,50.037153333333215,49.17,51.410000000000004
Central African Republic,CAF,2030,50.00448666666655,49.17,51.410000000000004
Chad,TCD,2022,59.11680812890815,58.69666666666667,59.906666666666666
Chad,TCD,2023,59.38931778499279,58.8,60.2
Chad,TCD,2024,59.697782123432155,59.0,60.5
Chad,TCD,2025,60.010626038776074,59.2,60.9
Chad,TCD,2026,60.12651083916087,59.3,60.9
Chad,TCD,2027,60.53243154160659,59.8,61.1
Chad,TCD,2028,60.82570321067824,60.2,61.4
Chad,TCD,2029,61.12929550264557,60.6,61.5
Chad,TCD,2030,61.32249037444041,60.6,62.0
Chile,CHL,2022,78.35014672919671,77.5,79.2
Chile,CHL,2023,78.37099559419073,77.5,79.205
Chile,CHL,2024,78.57164321323837,77.5,80.0
Chile,CHL,2025,78.29295749895263,77.3,79.6
Chile,CHL,2026,78.23209083228595,77.3,79.22000000000001
Chile,CHL,2027,78.15035892992908,77.2,79.1
Chile,CHL,2028,78.03536752781271,77.2,78.8
Chile,CHL,2029,77.97261197225716,77.1,78.8
Chile,CHL,2030,77.94202106316624,77.0,78.8
China,CHN,2022,77.6804638888889,76.7,78.5
China,CHN,2023,78.73019166666673,77.39,80.1
China,CHN,2024,78.91978888888893,77.89,80.2
China,CHN,2025,78.93809047619052,77.6,80.5
China,CHN,2026,79.06071111111119,77.58999999999999,80.91000000000001
China,CHN,2027,79.28180555555564,78.1,81.5
China,CHN,2028,79.29486111111117,78.1,81.2
China,CHN,2029,79.39941666666665,78.1,81.6
China,CHN,2030,79.41527007469652,78.1,81.6
Colombia,COL,2022,73.69189709647218,71.6,75.6
Colombia,COL,2023,73.55305350767236,71.38666666666667,75.6
Colombia,COL,2024,73.60204092100216,71.6,75.3
Colombia,COL,2025,73.62099817436733,71.99,75.3
Colombia,COL,2026,73.56157916028798,71.9,74.96749999999999
Colombia,COL,2027,73.36555984088353,71.8257142857143,74.6
Colombia,COL,2028,73.26034629880509,71.8,74.45357142857144
Colombia,COL,2029,73.00945974966399,71.8,74.0
Colombia,COL,2030,72.92901371791795,71.8,73.7
Comoros,COM,2022,68.85059722222229,67.2,70.41000000000001
Comoros,COM,2023,69.41133365800873,67.7,71.7
Comoros,COM,2024,69.43138365800873,67.7,71.7
Comoros,COM,2025,69.15320039682548,67.2,71.7
Comoros,COM,2026,68.14410880952393,66.28999999999999,69.81
Comoros,COM,2027,67.88383232950635,66.0,69.2
Comoros,COM,2028,67.90583232950632,66.08999999999999,69.2
Comoros,COM,2029,67.8250238095239,66.08999999999999,69.2
Comoros,COM,2030,67.65269047619053,66.0,69.2
Congo,COG,2022,62.8742333333333,62.2,63.6
Congo,COG,2023,62.950899999999976,62.49,63.910000000000004
Congo,COG,2024,63.13339999999995,62.6,64.01
Congo,COG,2025,63.29456666666664,62.6,64.7
Congo,COG,2026,63.56983333333332,62.6,64.91000000000001
Congo,COG,2027,63.62716666666672,62.6,64.8
Congo,COG,2028,63.89597777777783,62.8,65.1
Congo,COG,2029,64.20114103313844,62.8,65.4
Congo,COG,2030,64.50814103313847,63.2,65.71000000000001
"Congo, The Democratic Republic of the",COD,2022,62.01648849206353,61.7,62.3
"Congo, The Democratic Republic of the",COD,2023,62.383426587301656,62.0,63.085
"Congo, The Democratic Republic of the",COD,2024,63.02250638401559,62.5,63.6
"Congo, The Democratic Republic of the",COD,2025,63.29987525252533,63.0,63.650000000000006
"Congo, The Democratic Republic of the",COD,2026,63.85925422077922,63.2,64.3
"Congo, The Democratic Republic of the",COD,2027,64.21035648148158,63.5,65.0
"Congo, The Democratic Republic of the",COD,2028,64.59069074074084,63.7,65.21000000000001
"Congo, The Democratic Republic of the",COD,2029,65.180849928775,64.4,65.8
"Congo, The Democratic Republic of the",COD,2030,65.52912976190481,64.7,66.0
Cook Islands,COK,2022,71.68683611111129,70.8,72.51
Cook Islands,COK,2023,71.69558762626266,70.7,73.6
Cook Islands,COK,2024,71.70025429292933,70.7,73.7
Cook Islands,COK,2025,71.656920959596,70.7,73.7
Cook Islands,COK,2026,71.64225429292934,70.7,73.7
Cook Islands,COK,2027,71.50395058922567,70.5,73.61
Cook Islands,COK,2028,71.45029536944543,70.5,73.61
Cook Islands,COK,2029,71.36743644688644,70.42076923076922,73.6
Cook Islands,COK,2030,71.26726184371182,70.4,73.01
Costa Rica,CRI,2022,77.41984868464868,75.2,78.5
Costa Rica,CRI,2023,77.18478201798204,74.6,78.5
Costa Rica,CRI,2024,76.68549422142974,73.73333333333333,78.5
Costa Rica,CRI,2025,74.14237261393498,72.67361111111111,76.205
Costa Rica,CRI,2026,74.05146150282384,72.65499999999999,75.90666666666668
Costa Rica,CRI,2027,73.97568921030151,72.4,75.9
Costa Rica,CRI,2028,73.86814057403211,72.39,75.8
Costa Rica,CRI,2029,73.60577184866904,72.3,75.3
Costa Rica,CRI,2030,73.55692120382025,72.3,75.10739130434783
Croatia,HRV,2022,77.84054466374866,77.1,78.7
Croatia,HRV,2023,77.81320305154819,77.1,78.7
Croatia,HRV,2024,77.82300860710376,77.1,78.7
Croatia,HRV,2025,77.76136648949917,77.0,78.7
Croatia,HRV,2026,77.82493315616587,77.05346153846153,78.7
Croatia,HRV,2027,77.92288289161563,77.1,78.8
Croatia,HRV,2028,77.9848995582823,77.1860685483871,78.8
Croatia,HRV,2029,78.24141856060609,77.4,78.8
Croatia,HRV,2030,78.32525030663783,77.4,79.0
Cuba,CUB,2022,74.97842346515932,74.0,77.0
Cuba,CUB,2023,74.98445452910276,74.0,77.0
Cuba,CUB,2024,74.891840042747,73.9,77.0
Cuba,CUB,2025,74.70147439116278,73.7,77.0
Cuba,CUB,2026,73.85623504354741,72.6,74.91000000000001
Cuba,CUB,2027,73.608048693663,72.5,74.8
Cuba,CUB,2028,73.36142171185146,72.3,74.63633333333333
Cuba,CUB,2029,73.24823978262367,72.26923076923077,74.6
Cuba,CUB,2030,73.14634534329397,72.31428571428572,74.2775
Cyprus,CYP,2022,82.07826121841136,81.7,82.57
Cyprus,CYP,2023,82.08526121841138,81.7,82.5
Cyprus,CYP,2024,82.1203731953233,81.7,82.6
Cyprus,CYP,2025,82.10437319532332,81.7,82.6
Cyprus,CYP,2026,81.70821471768981,80.5,82.6
Cyprus,CYP,2027,81.60761143486154,80.3,82.5
Cyprus,CYP,2028,81.57194476819487,80.3,82.5
Cyprus,CYP,2029,81.5289031015282,80.3,82.5
Cyprus,CYP,2030,81.5126985560736,80.1,82.51
Czechia,CZE,2022,78.48069567075433,77.6,79.6
Czechia,CZE,2023,78.32455567765564,77.3,79.21000000000001
Czechia,CZE,2024,78.28308901098902,77.3,79.21000000000001
Czechia,CZE,2025,77.72444615384615,75.49,79.1
Czechia,CZE,2026,77.64359999999999,75.48,79.01
Czechia,CZE,2027,77.55466666666668,75.3,78.91000000000001
Czechia,CZE,2028,77.36500000000004,75.0,78.81
Czechia,CZE,2029,77.30200000000005,75.5,78.8
Czechia,CZE,2030,77.26466666666671,75.6,78.7
Côte d'Ivoire,CIV,2022,63.452393518518534,63.0,63.910000000000004
Côte d'Ivoire,CIV,2023,64.05465918803417,63.2,65.6
Côte d'Ivoire,CIV,2024,64.46482702020202,63.59875,65.6
Côte d'Ivoire,CIV,2025,65.08570568783065,64.1,65.9
Côte d'Ivoire,CIV,2026,65.48572895622888,64.58,66.02000000000001
Côte d'Ivoire,CIV,2027,65.72717340067338,64.8,66.4
Côte d'Ivoire,CIV,2028,66.41215117845108,65.5,67.71000000000001
Côte d'Ivoire,CIV,2029,67.23216666666661,66.0,68.3
Côte d'Ivoire,CIV,2030,67.90983333333337,67.2,68.8
Denmark,DNK,2022,82.19787051282067,81.6,82.7
Denmark,DNK,2023,82.2905587523588,81.78999999999999,82.8
Denmark,DNK,2024,82.33680875235876,81.8,82.8
Denmark,DNK,2025,82.38744016261516,81.8,82.8
Denmark,DNK,2026,82.3882734959485,81.8189090909091,82.8
